training error,2141.685428
testing error,1757.047980
training error,1760.815850
testing error,2102.397338
training error,1674.424115
testing error,2112.640916
training error,1624.501490
testing error,1967.240244
training error,1581.845134
testing error,1972.049312
training error,1551.199519
testing error,1857.596344
training error,1525.774893
testing error,1817.264421
training error,1506.279484
testing error,1844.529930
training error,1492.089635
testing error,1676.178285
training error,1478.182969
testing error,1543.919118
training error,1463.697016
testing error,1526.920624
training error,1452.707881
testing error,1514.305745
training error,1444.739460
testing error,1503.748368
training error,1439.373329
testing error,1523.870068
training error,1433.768036
testing error,1544.794941
training error,1429.149837
testing error,1548.437611
training error,1425.678630
testing error,1544.625566
training error,1423.369159
testing error,1540.149930
training error,1421.121465
testing error,1535.672935
training error,1418.702689
testing error,1527.111564
training error,1416.830462
testing error,1504.051933
training error,1415.991076
testing error,1484.918622
training error,1415.050106
testing error,1580.595542
training error,1414.485168
testing error,1596.668653
training error,1411.405460
testing error,1587.750800
training error,1413.034191
testing error,1587.012146
training error,1408.601464
testing error,1569.990153
training error,1406.734879
testing error,1545.959914
training error,1404.655840
testing error,1525.573749
training error,1402.480471
testing error,1508.509163
training error,1401.340470
testing error,1502.356120
training error,1399.868835
testing error,1498.022760
training error,1399.603996
testing error,1491.387536
training error,1398.534507
testing error,1495.885358
training error,1396.131120
testing error,1490.327635
training error,1395.114643
testing error,1479.351303
training error,1393.749752
testing error,1461.711903
training error,1389.758121
testing error,1480.957724
training error,1383.571867
testing error,1615.526412
training error,1381.115651
testing error,1512.269648
training error,1374.987418
testing error,1412.459874
training error,1370.518145
testing error,1378.828102
training error,1360.676472
testing error,1368.539210
training error,1358.330852
testing error,1363.883813
training error,1354.707346
testing error,1379.702486
training error,1351.514272
testing error,1351.963423
training error,1346.636808
testing error,1348.717942
training error,1342.763329
testing error,1368.105653
training error,1339.726799
testing error,1349.561921
training error,1338.902145
number hidden nodes,2
testing error,1343.247023
training error,1336.682001
testing error,1357.998683
training error,1333.684542
testing error,1363.021086
training error,1331.246948
testing error,1353.756035
training error,1330.997898
testing error,1352.674459
training error,1329.516644
testing error,1368.013577
training error,1326.706408
testing error,1465.409406
training error,1326.007564
testing error,1414.459847
training error,1324.932313
testing error,1384.614738
training error,1322.712051
testing error,1419.746771
training error,1322.058743
testing error,1414.731918
training error,1321.191302
testing error,1440.555447
training error,1320.039830
testing error,1438.388985
training error,1318.809746
testing error,1437.045310
training error,1317.831393
testing error,1440.765009
training error,1316.936846
testing error,1445.906745
training error,1316.208740
testing error,1454.657236
training error,1315.597988
testing error,1463.119161
training error,1315.321593
testing error,1471.109265
training error,1314.641719
testing error,1452.292398
training error,1312.943499
testing error,1458.317949
training error,1312.040433
testing error,1467.747268
training error,1311.073881
testing error,1445.014348
training error,1309.160503
testing error,1455.885820
training error,1308.315794
testing error,1448.549471
training error,1306.889539
